"CÓDIGO SIGEP","NOMBRE DE LA ENTIDAD","NIT","ORDEN","SUBORDEN","REGIÓN PND","CÓDIGO DIVIPOLA DEPARTAMENTO","DEPARTAMENTO","CÓDIGO DIVIPOLA MUNICIPIO","MUNICIPIO","CLASIFICACIÓN ORGÁNICA","SECTOR","NIVEL","TIPO DE VINCULACIÓN","NATURALEZA JURÍDICA","LONGITUD","LATITUD","AÑO","MES","FUENTE","GENERO: HOMBRE","GENERO: MUJER","NIVEL EDUCATIVO: PRIMARIA","NIVEL EDUCATIVO: SECUNDARIA","NIVEL EDUCATIVO: TÉCNICA-TECNOLÓGICA","NIVEL EDUCATIVO: PROFESIONAL","NIVEL EDUCATIVO: ESPECIALIZACIÓN","NIVEL EDUCATIVO: MAESTRÍA","NIVEL EDUCATIVO: DOCTORADO","NIVEL EDUCATIVO: SIN DATOS","EDAD: MENOR O IGUAL A 29","EDAD: 30-39","EDAD: 40-49","EDAD: 50-62","EDAD: 63 Y MAS","EXPERIENCIA LABORAL: MENOR A 1 AÑO","EXPERIENCIA LABORAL: DE 1 A 10 AÑOS","EXPERIENCIA LABORAL: DE 11 A 20 AÑOS","EXPERIENCIA LABORAL: DE 21 A 30 AÑOS","EXPERIENCIA LABORAL: DE 31 A 40 AÑOS","EXPERIENCIA LABORAL: MAYOR A 40 AÑOS","EXPERIENCIA LABORAL: SIN DATOS","SALARIO MENSUAL PROMEDIO"
"00528","ALCALDIA DE EL CALVARIO","892099001","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","3","2","1","0","0","2","1","0","0","1","0","3","0","2","0","2","0","0","0","0","0","0","2.360.065,8"
"00529","ALCALDIA DE EL CARMEN","800099238","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","8","7","0","2","0","8","2","1","0","1","1","9","3","2","0","8","3","0","0","0","0","0","3.241.206,29"
"00530","ALCALDIA DE EL CARMEN DE ATRATO","891680061","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","5","11","0","2","0","9","4","0","0","0","1","9","4","2","0","6","4","2","2","0","1","0","2.156.451,72"
"00531","ALCALDIA DE EL CARMEN DE BOLIVAR","890480022","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","13","15","1","12","0","6","3","2","0","4","0","2","5","13","8","4","3","5","5","5","5","0","1.567.631,64"
"00532","ALCALDIA DE EL CARMEN DE CHUCURI","890270859","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","15","0","5","0","8","3","0","0","1","1","6","6","7","2","6","5","6","6","5","0","0","2.215.560,05"
"00533","ALCALDIA DE EL CARMEN DE VIBORAL","890982616","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","8","10","0","0","0","5","4","1","0","0","1","6","6","5","0","12","3","0","0","1","2","0","2.359.034"
"00535","ALCALDIA DE EL CERRITO - VALLE DEL CAUCA","800100533","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","25","40","1","14","0","20","13","1","0","10","3","9","12","29","12","10","13","8","8","14","7","0","3.532.174,31"
"00536","ALCALDIA DE EL CHARCO","800099076","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","2","1","0","0","0","2","0","0","0","1","1","0","1","1","0","2","0","0","0","0","0","0","2.528.986,67"
"00537","ALCALDIA DE EL COCUY","891857844","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","8","6","0","3","0","0","2","1","0","4","0","1","1","10","2","1","2","0","0","5","1","0","1.643.084,14"
"00538","ALCALDIA DE EL COPEY","800096587","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","16","10","0","4","0","9","8","1","0","1","3","10","5","6","2","13","5","2","2","2","1","0","3.375.796,31"
